,date,time,bid,bs,ask,as
9593,2023-01-02,1672673876.0,1219.25,4.7424828,1219.26,19.8513617
9594,2023-01-02,1672673877.0,1219.25,4.7424828,1219.26,19.8513617
9595,2023-01-02,1672673878.0,1219.25,4.7424828,1219.26,17.7865093
9596,2023-01-02,1672673879.0,1219.25,4.7424828,1219.26,17.7865093
9597,2023-01-02,1672673880.0,1219.25,4.7424828,1219.26,19.8513617
9598,2023-01-02,1672673881.0,1219.25,4.7424828,1219.26,17.7865093
9599,2023-01-02,1672673882.0,1219.25,16.318366,1219.26,14.0330109
9600,2023-01-02,1672673883.0,1219.25,11.318366,1219.26,17.7986714
9601,2023-01-02,1672673884.0,1219.25,16.318366,1219.26,17.7986714
9602,2023-01-02,1672673885.0,1219.25,11.318366,1219.26,19.8635238
9603,2023-01-02,1672673886.0,1219.25,11.318366,1219.26,17.7901074
9604,2023-01-02,1672673887.0,1219.25,16.318366,1219.26,17.7901074
9605,2023-01-02,1672673888.0,1219.25,11.318366,1219.26,17.7901074
9606,2023-01-02,1672673889.0,1219.25,11.318366,1219.26,17.7901074
9607,2023-01-02,1672673890.0,1219.25,11.318366,1219.26,17.7895919
9608,2023-01-02,1672673891.0,1219.25,11.318366,1219.26,17.7895919
9609,2023-01-02,1672673892.0,1219.25,11.318366,1219.26,17.7895919
9610,2023-01-02,1672673893.0,1219.25,18.618366,1219.26,7.3108777
9611,2023-01-02,1672673894.0,1219.25,37.698402,1219.26,0.0615606
9612,2023-01-02,1672673895.0,1219.25,37.7266056,1219.26,0.0615606
9613,2023-01-02,1672673896.0,1219.52,1.5781709,1219.53,19.3979488
9614,2023-01-02,1672673897.0,1219.52,15.1679485,1219.53,25.5081205
9615,2023-01-02,1672673898.0,1219.52,15.1679485,1219.53,25.5081205
9616,2023-01-02,1672673899.0,1219.52,14.6679485,1219.53,25.5081205
9617,2023-01-02,1672673900.0,1219.52,13.754297,1219.53,25.5081205
9618,2023-01-02,1672673901.0,1219.52,13.754297,1219.53,22.2281205
9619,2023-01-02,1672673902.0,1219.52,17.2863292,1219.53,22.2281205
9620,2023-01-02,1672673903.0,1219.52,17.2863292,1219.53,22.2281205
9621,2023-01-02,1672673904.0,1219.52,22.2863292,1219.53,20.1632681
9622,2023-01-02,1672673905.0,1219.52,22.2863292,1219.53,22.2281205
9623,2023-01-02,1672673906.0,1219.52,17.2863292,1219.53,20.1641382
9624,2023-01-02,1672673907.0,1219.52,17.2863292,1219.53,20.1641382
9625,2023-01-02,1672673908.0,1219.52,17.2863292,1219.53,22.2289906
9626,2023-01-02,1672673909.0,1219.52,0.1897103,1219.53,22.2289906
9627,2023-01-02,1672673910.0,1219.33,21.9071184,1219.34,17.1790227
9628,2023-01-02,1672673911.0,1219.33,25.2862441,1219.34,17.1790227
9629,2023-01-02,1672673912.0,1219.33,25.2862441,1219.34,17.1790227
9630,2023-01-02,1672673913.0,1219.33,25.2862441,1219.34,17.1790227
9631,2023-01-02,1672673914.0,1219.33,25.2862441,1219.34,17.1790227
9632,2023-01-02,1672673915.0,1219.33,20.2862441,1219.34,17.1790227
9633,2023-01-02,1672673916.0,1219.33,25.3730668,1219.34,17.0982832
9634,2023-01-02,1672673917.0,1219.33,31.5009286,1219.34,0.1784121
9635,2023-01-02,1672673918.0,1219.33,31.4981532,1219.34,2.1642821
9636,2023-01-02,1672673919.0,1219.33,31.4981532,1219.34,2.1639696
9637,2023-01-02,1672673920.0,1219.33,31.4981532,1219.34,2.1639696
9638,2023-01-02,1672673921.0,1219.33,31.4981532,1219.34,2.1639696
9639,2023-01-02,1672673922.0,1219.33,31.4981532,1219.34,2.1639696
9640,2023-01-02,1672673923.0,1219.33,31.4981532,1219.34,2.1628046
9641,2023-01-02,1672673924.0,1219.33,31.4981532,1219.34,2.1628046
9642,2023-01-02,1672673925.0,1219.33,31.4981532,1219.34,2.3210973
9643,2023-01-02,1672673926.0,1219.33,31.4981532,1219.34,2.3209831
9644,2023-01-02,1672673927.0,1219.33,31.4981532,1219.34,7.3209831
9645,2023-01-02,1672673928.0,1219.33,17.8817938,1219.34,10.6442831
9646,2023-01-02,1672673929.0,1219.33,17.8817938,1219.34,10.6442831
9647,2023-01-02,1672673930.0,1219.33,20.1817938,1219.34,10.6452215
9648,2023-01-02,1672673931.0,1219.33,20.1817938,1219.34,10.6450748
9649,2023-01-02,1672673932.0,1219.33,20.1817938,1219.34,10.6450748
9650,2023-01-02,1672673933.0,1219.33,20.1817938,1219.34,10.6450748
9651,2023-01-02,1672673934.0,1219.33,25.1817938,1219.34,10.6450748
9652,2023-01-02,1672673935.0,1219.33,25.1817938,1219.34,5.6365186
9653,2023-01-02,1672673936.0,1219.33,32.0284781,1219.34,2.3132186
9654,2023-01-02,1672673937.0,1219.33,32.0284781,1219.34,2.3132186
9655,2023-01-02,1672673938.0,1219.33,32.0284781,1219.34,2.3132186
9656,2023-01-02,1672673939.0,1219.33,32.0284781,1219.34,2.3128001
9657,2023-01-02,1672673940.0,1219.61,8.1781988,1219.62,23.7382685
9658,2023-01-02,1672673941.0,1219.61,8.1781988,1219.62,23.7382685
9659,2023-01-02,1672673942.0,1219.61,4.8377023,1219.62,23.7382685
9660,2023-01-02,1672673943.0,1219.61,4.8377023,1219.62,23.7382685
9661,2023-01-02,1672673944.0,1219.61,4.8377023,1219.62,23.7382685
9662,2023-01-02,1672673945.0,1219.61,4.8377023,1219.62,23.7382685
